"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"TMEM129",1096.68602106234,-0.713725093463041,0.0865519162515791,-8.24620787584261,1.63500148089863e-16,1.40557723463663e-14,"Tidak Signfikan","Tidak Signifikan"
"SF3B1",14708.6346996063,0.411580005575755,0.0500825007181618,8.21804022710272,2.06855587538941e-16,1.76696833406671e-14,"Tidak Signfikan","Tidak Signifikan"
"CCDC18",760.909257649331,-0.877462880765165,0.107149556998366,-8.18914147053865,2.63096140183886e-16,2.23315337721904e-14,"Tidak Signfikan","Tidak Signifikan"
"PPP2R2A",2200.4316148411,0.541130234256022,0.0662359230081516,8.16973946583979,3.09056151757294e-16,2.60676229636294e-14,"Tidak Signfikan","Tidak Signifikan"
"RSF1",1813.35058904456,0.570532967795402,0.0698621920422897,8.1665483306055,3.173382991536e-16,2.65988995621808e-14,"Tidak Signfikan","Tidak Signifikan"
"CANX",9317.60160429427,0.398931025807296,0.0489199356829662,8.15477412710915,3.49833066286574e-16,2.91404425588152e-14,"Tidak Signfikan","Tidak Signifikan"
"TEX2",1851.15174186759,0.575428730788722,0.0706379721769799,8.14616718253199,3.75640702668656e-16,3.10970213795638e-14,"Tidak Signfikan","Tidak Signifikan"
"MPZL1",3593.6664864174,0.486148177532049,0.0597454281989319,8.13699377822419,4.05213532933581e-16,3.33393784673144e-14,"Tidak Signfikan","Tidak Signifikan"
"NELFA",1943.4427132314,0.550483488078518,0.06767441070592,8.13429304128928,4.14349167778703e-16,3.38831505431718e-14,"Tidak Signfikan","Tidak Signifikan"
"ARFGAP3",2683.53632463164,0.5087393121193,0.062794708740539,8.10162706895188,5.4228962922671e-16,4.40766437427843e-14,"Tidak Signfikan","Tidak Signifikan"
"SRPR",3460.09153580835,0.470006285160799,0.0581130792161548,8.08778835161331,6.07578635972088e-16,4.90857655844679e-14,"Tidak Signfikan","Tidak Signifikan"
"TFDP1",4509.58096257693,-0.440597942929423,0.0546431638088132,-8.06318507601423,7.4331856913853e-16,5.93371745876001e-14,"Tidak Signfikan","Tidak Signifikan"
"RAB14",3707.26511059984,0.478219444405607,0.059306800613483,8.06348411073935,7.41501713522174e-16,5.93371745876001e-14,"Tidak Signfikan","Tidak Signifikan"
"SLC6A6",2481.19796208662,-0.537100147884284,0.0666950144410336,-8.05307791572856,8.07374694953067e-16,6.4069242804826e-14,"Tidak Signfikan","Tidak Signifikan"
"PSMG3-AS1",205.079763635616,-1.72200243339479,0.214156711870044,-8.04085203941564,8.92159310447625e-16,7.038087360243e-14,"Signifikan","Turun"
"ELOVL6",418.670231580255,1.00045502334112,0.124500361648373,8.03575997768352,9.30006428257007e-16,7.29375216921329e-14,"Signifikan","Naik"
"HERPUD1",598.964565651315,0.868093448722595,0.108395562354635,8.00856999922632,1.16049901780135e-15,9.04851879519415e-14,"Tidak Signfikan","Tidak Signifikan"
